job_position,job_link,company_name,company_profile,job_location,job_posting_date
GenAI/NLP Algorithm Developer,https://il.linkedin.com/jobs/view/genai-nlp-algorithm-developer-at-wsc-sports-3673521673?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=rbOOPjHbBLE96uNugfTjBA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,WSC Sports,https://il.linkedin.com/company/wsc-sports-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ramat Gan, Tel Aviv District, Israel",2023-07-02
Data Scientist,https://il.linkedin.com/jobs/view/data-scientist-at-ziprecruiter-2475122481?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=YB1f7INGg9qpdPaaolvg8A%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,ZipRecruiter,https://www.linkedin.com/company/ziprecruiter?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-07-25
Full Stack Developer,https://il.linkedin.com/jobs/view/full-stack-developer-at-novidea-3650032836?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=dq7vvimB2d8YLoyTKDBNcQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,Novidea,https://il.linkedin.com/company/novidea-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"Netanya, Center District, Israel",2023-07-05
"DATA SCIENTIST - Dubai, UAE",https://il.linkedin.com/jobs/view/data-scientist-dubai-uae-at-cobblestone-energy-3641766216?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=BHqyVUXVpbz487u95gVSkw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-06-05
"Researcher, Innovation Team",https://il.linkedin.com/jobs/view/researcher-innovation-team-at-silverfort-3642760269?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=VvXbCMLBPLB6LuLjJnJmKg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,Silverfort,https://il.linkedin.com/company/silverfort?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-06-27
Senior Backend Engineer,https://il.linkedin.com/jobs/view/senior-backend-engineer-at-intel-corporation-3674800816?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=Bsic196ChpnHKYA3aPGGCA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,Intel Corporation,https://www.linkedin.com/company/intel-corporation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-07-25
Backend Team Lead,https://il.linkedin.com/jobs/view/backend-team-lead-at-nanit-3659223466?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=RmsSB2yU6znXHDmtzHIepg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,Nanit,https://www.linkedin.com/company/nanit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-07-10
Senior Software Engineer \ Tech Lead - Innovation Labs,https://il.linkedin.com/jobs/view/senior-software-engineer-tech-lead-innovation-labs-at-bmc-software-3667663761?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=LSJDpIJLbh6Wo6L5P1J1nQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,BMC Software,https://www.linkedin.com/company/bmc-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-07-27
Data Science Lead,https://il.linkedin.com/jobs/view/data-science-lead-at-cycode-3646841090?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=qhqSODLHWoYiYrG8%2B0OMkA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,Cycode,https://il.linkedin.com/company/cycode?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-07-02
R&D Laboratory Practical Engineer,https://il.linkedin.com/jobs/view/r-d-laboratory-practical-engineer-at-dustphotonics-3657004464?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=YDnb3pgljHJ5H5YxVhu51A%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,DustPhotonics,https://il.linkedin.com/company/dustphotonics?trk=public_jobs_jserp-result_job-search-card-subtitle,"Modiin-Maccabim-Reut, Center District, Israel",2023-07-11
Senior Software Engineer,https://il.linkedin.com/jobs/view/senior-software-engineer-at-checkmarx-3664050163?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=Vlx%2FuOfHZ7tM%2BT51z1aw8w%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,Checkmarx,https://www.linkedin.com/company/checkmarx?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ramat Gan, Tel Aviv District, Israel",2023-06-22
Senior Software Engineer,https://il.linkedin.com/jobs/view/senior-software-engineer-at-sensibo-3598180748?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=KYTol0hrxEI66tT1tzjvLA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,Sensibo,https://www.linkedin.com/company/sensibo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-05-05
Data Architect - Microsoft 365 Specialist,https://www.linkedin.com/jobs/view/data-architect-microsoft-365-specialist-at-roga-analytics-3678763462?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=IXKiFXhryIEstMNZ1FOIYQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,Roga Analytics,https://il.linkedin.com/company/roga-analytics?trk=public_jobs_jserp-result_job-search-card-subtitle,Jerusalem,2023-07-30
Data Science Lead,https://il.linkedin.com/jobs/view/data-science-lead-at-identiq-3623805387?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=YoBgRr2QoyKMQlvWsGy1gw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,Identiq,https://il.linkedin.com/company/identiqprotocol?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-06-05
Senior Backend Engineer - Data Team,https://il.linkedin.com/jobs/view/senior-backend-engineer-data-team-at-granulate-an-intel-company-3682442918?refId=RWtfeiEOiuE17eNfTWIrKw%3D%3D&trackingId=I1bJXocNUhyfJk6Jr0Ylow%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,Granulate (An Intel Company),https://il.linkedin.com/company/granulate.io?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tel Aviv District, Israel",2023-08-03
